Scientificname,Commonname,SIGNAL_art,RL2020kat,Giftsvamp,Nyasvamp-boken,ekologi,Kriteriedokumentation
Cortinarius rhizophorus,apelsinspindling,,VU,,,,"Bildar mykorrhiza med ek i kalkrik ädellövskog. Har relativt nyligen urskiljts från den närbesläktade och mycket vanligare kornspindlingen C. olidus. Ã„r en sydlig, exklusiv svamp som hittills endast är känd under ek i några öländska ädellövskogar och i lövängar på Gotland där den växer tillsammans med många andra sällsynta och hotade arter. Säkerligen sällsynt och med mycket liten population i landet. Antalet reproduktiva individer skattas till 800 (100-1600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 40 (5-80). Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Tretomyces lutescens,gult markskinn,,VU,,,,"Bildar mykorrhiza, troligen med både barr- och lövträd. Uppenbarligen sällsynt men även förbisedd art. I systematiska eftersökningar av barrskog i olika åldrar är den huvudsakligen påträffad i äldre skog med höga naturvärden och mycket död ved. Antalet reproduktiva individer skattas till 500 (40-1000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (5). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (2). Antalet lokalområden i landet skattas till 50 (4-100). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 200 (20-400) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Stephensia bombycina,portryffel,,EN,,,,"Bildar mykorrhiza med hassel på mullrik lerjord i tät ädellövskog med alm, ask, ek och hassel. Bildar underjordiska fruktkroppar. Eftersökt men mycket få fynd och liten population. Svårt att bedöma ev. populationsförändringar. Antalet reproduktiva individer skattas till 200 (20-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (5). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 10 (1-20). Utbredningsområdets storlek (EOO) skattas till 10000 (8-10000) kmÂ² och förekomstarean (AOO) till 20 (8-40) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Antalet individer bedöms vara lägre än gränsvärdet för Starkt hotad (EN) enligt D-kriteriet. (D)."
Cortinarius albertii,spökspindling,,EN,,,,"Bildar mykorrhiza med ek, bok och ev. lind i luckig, äldre ädellövskog, betad ek-/hasselmark och löväng. Få säkra fynd i landet med fynd på några få exklusiva lokaler i Skåne, på Ã–land och Gotland. Ingår i ett artkomplex kring vad som tidigare kallats C. parvus och som först på senare år blivit taxonomiskt utredda. Säkert finns litet mörkertal men bedöms mycket sällsynt och med totalt sett liten population i landet. På Ã–land och Gotland utgör den följeart till bl.a. djävulssopp, Boletus satanas. Missgynnas liksom andra arter med samma miljökrav av upphörd hävd och förtätningar av artens habitat. Antalet reproduktiva individer skattas till 800 (360-1600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (40). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 40 (4-80). Förekomstarean (AOO) skattas till 160 (16-320) kmÂ². En minskning av populationen pågår eller förväntas ske. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius roseipes,spindelskivling,,NT,,,,Bildar mykorrhiza med solvända (Helianthemum nummularium) på hävdade kalktorrängar. Liten och anonym men i norra Europa endast påträffad på ett fåtal lokaler på Ã–land och Gotland. Svampen är betydligt sällsyntare än solvändorna men följer bedömningen för värdarten som är rödlistad som NT. Minskningstakten har uppgått till 15 % under de senaste 50 åren. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Nära hotad (NT). Minskningstakten för den svenska populationen bedöms vara nära gränsvärdet för Sårbar (VU). (A2c).
Cortinarius inexspectatus,oväntad spindling,,VU,,,,"Bildar mykorrhiza med gran och tall i ängsgranskog och tallskog på kalkrik mark. Ytterst få fynduppgifter i landet, trots att arten bildar stora fruktkroppar och är känd sedan den beskrevs från Norge 1989. Troligen är arten förbisedd eftersom fruktkropparna uppträder vår till försommar. Eventuella populationsförändringar är svåra att uppskatta, men uppenbarligen en mycket sällsynt art med en liten population i landet. Antalet reproduktiva individer skattas till 500 (40-1000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (25). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 25 (2-50). Utbredningsområdets storlek (EOO) skattas till 10000 (4-10000) kmÂ² och förekomstarean (AOO) till 100 (4-100) kmÂ². Det föreligger indikation på eller misstanke om populationsminskning. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Cortinarius platypus,bredfotsspindling,,VU,,,,"Bildar mykorrhiza med bok och ek i ädellövskog på kalkrik mark. Status och trender är pga. litet underlagsmaterial oklar, men det är uppenbart en sällsynt art med mycket liten population och förekomstarea. Arten ingår i komplexet kring fagerspindling (Cortinarius calochrous s.lat.) som visat sig innefatta ett komplex av flera morfologiskt närstående arter. Antalet reproduktiva individer skattas till 400 (100-800). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (20). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 25 (5-50). Förekomstarean (AOO) skattas till 100 (20-200) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Cortinarius vesterholtii,vesterholtspindling,,EN,,,,"Bildar mykorrhiza med hassel, ek och bok i ädellövskog samt torra hässlen på kalkrik mark. Hittills endast känd från ett fåtal lokaler i Norden. Hotas av den mycket begränsade populationen, vegetationsförändringar i kalkrika bokskogar samt att mosaikartade hässlen ersätts av mera renodlade, öppna betesmarker eller lämnas att växa igen. Antalet reproduktiva individer skattas till 2000 (500-4000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (100). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 100 (5-200). En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius hinnuleoarmillatus,spindelskivling,,VU,,,,"Bildar mykorrhiza med ek i lövskog på rik mark. Iögonfallande, uppmärksammad och därför bedömd som föga förbisedd. I Sverige funnen på ett fåtal lokaler under ek på fuktig näringsrik jord i betespräglad lövskog. Status och hotbild oklar men uppenbart en mycket sällsynt art med liten population och förekomstarea. Antalet reproduktiva individer skattas till 900 (80-1800). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (45). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 45 (4-90). Utbredningsområdets storlek (EOO) skattas till 10000 kmÂ² och förekomstarean (AOO) till 180 (16-360) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Ramaria brienzensis,kalkfingersvamp,,EN,,,,"Bildar mykorrhiza med bok i ängsbokskog. Hittills bara påträffad på Ivö klack i Skåne. En grå art som liknar druvfingersvamp, R. botrytis. Taxonomi nyligen klarlagd och fortfarande dåligt känd men uppenbarligen mycket sällsynt och med liten population i landet. Svårt att bedöma ev. populationsförändringar. Antalet reproduktiva individer skattas till 200 (20-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (10). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 10 (1-20). Förekomstarean (AOO) skattas till 100 (4-200) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Antalet individer bedöms vara lägre än gränsvärdet för Starkt hotad (EN) enligt D-kriteriet. (D)."
Cortinarius gracilior,frökenspindling,,EN,,,,"Bildar mykorrhiza med hassel i solvarma hässlen, löväng och mosaikartad ek-/hasselskog. Enbart känd från ett fåtal lokaler på Ã–land och Gotland. Mycket sällsynt men ganska liten och svårbestämd vilket medför ett relativt högt mörkertal. Mycket liten population i landet. Missgynnad av att dess växtmiljöer är känsliga för såväl igenväxning som för hårda utglesningar i samband med restaureringar av betesmark. Rätt utförd skötsel och restaurering av ädellövsrika fodermarker gynnar arten. Antalet reproduktiva individer skattas till 1000 (100-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (5-100). Förekomstarean (AOO) skattas till 200 (20-400) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Amanita eliae,isabellflugsvamp,,VU,,,,"Bildar mykorrhiza med främst bok. En intensivt eftersökt art och uppenbarligen sällsynt art som förefaller knuten till gammal bokskog med lång skogskontinuitet.  Med säkerhet endast funnen på några få lokaler i landet, alla i Skåne. Säkerligen något förbisedd och ibland svårbestämd men total populationen i landet bedöms som mycket liten. Svårt bedöma eventuell minskning. Antalet reproduktiva individer skattas till 300 (150-600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (15). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 15 (5-30). ToK 2019: Höjt från 3-10-20 till 5-15-30. Utbredningsområdets storlek (EOO) skattas till 5000 kmÂ² och förekomstarean (AOO) till 40 (12-80) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Cortinarius pini,jämtlandsspindling,,VU,,,,"Bildar mykorrhiza med tall, i kalktallskog och barrblandskog på  kalkrik mark. Enbart känd från Norden. Total population i landet bedöms ha minskat kraftigt och att fortsatt miska p.g.a. slutavverkningar och minskad areal av kontinuitetsskog. Antalet reproduktiva individer skattas till 1000 (100-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (5-100). Utbredningsområdets storlek (EOO) överskrider gränsvärdet för rödlistning. Förekomstarean (AOO) skattas till 200 (20-200) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Fischerula macrospora,hasseltryffel,,EN,,,,"Bildar mykorrhiza med hassel i glest fältskikt och skuggigt läge på sandig-moig mulljord.. Trots eftersök funnen endast en gång på Gotland (1999), i en löväng som tidvis används för hästbete. Mycket liten population och förekomstarea. Svårt att bedöma ev. populationsförändringar. Antalet reproduktiva individer skattas till 200 (20-400). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (10). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 10 (1-20). Utbredningsområdets storlek (EOO) skattas till 10000 (8-10000) kmÂ² och förekomstarean (AOO) till 40 (8-80) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Antalet individer bedöms vara lägre än gränsvärdet för Starkt hotad (EN) enligt D-kriteriet. (D)."
Hygrophorus carpini,avenbokvaxskivling,,DD,,,,Bildar mykorrhiza med avenbok i avenboksdominerad ädellövskog. Arten är en nyligen uppmärksammad dubbelgångare till hasselvaxskivling (H. lindtneri) men genetiskt väl skild. Hittills finns i landet ett sekvenserat fynd från Ã–land. Ã–vrig status i landet okänd. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig.
Cortinarius nymphicolor,spindelskivling,S,NA,,,,"Bildar mykorrhiza med bok och ek. Tidigare sammanblandad med närstående arter (ffa. C. rickenianus och C. lilacinovelatus), varför ev. förekomst i landet är osäker. Svensk förekomst: Osäkert om påträffad."
Inosperma quietiodor,trådskivling,,DD,,,,Bildar mykorrhiza men oklart med vilka värdträd. Några få fynd från Västergötland och ett på Ã–land. Växer i Västergötland i de främsta ädellövmiljöerna (ek/hassel-dominerade kalkrika lövskogar) medan det öländska fyndet är gjort i en äldre blandskogsplantering på alvarmark. En stor och tack vare speciell doft lättbestämd trådskivling som uppenbarligen är mycket sällsynt. De få fynden och den något spretiga ekologin gör en bedömning svår. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig.
Cortinarius lepistoides,spindelskivling,,DD,,,,"Bildar mykorrhiza med hassel, bok och ev. ek i ek-/hasselskog, kalkbokskog i mosaikartade och varma miljöer. Endast funnen på två exklusiva lokaler tillsammans med flera andra hotade och sällsynta arter. Relativt nybeskriven (2008) och uppenbart mycket sällsynt och med liten population men svårt att bedöma status och ev. populationsförändringar på så litet underlag. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Gautieria graveolens s.lat.,stinkande håltryffel,,VU,,,,"Bildar mykorrhiza med gran, i tjock barrförna i granskog på kalkrik mark. Stort mörkertal, eftersökt och knuten till en exklusiv skogstyp. Total population i landet bedöms ha minskat och fortgående minska, huvudsakligen p.g.a. slutavverkning av äldre granskog. Bedömningen är gjord på arten i vid bemärkelse som troligen består av 3-4 arter i behov av taxonomisk revision. Antalet reproduktiva individer skattas till 1000 (100-2000). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (50). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 50 (5-100). Förekomstarean (AOO) skattas till 200 kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten uppgår till 30 % inom 50 år. Den minskande trenden har pågått en tid och bedöms fortsätta. Bedömningen baseras på minskad geografisk utbredning och/eller försämrad habitatkvalitet. Beroende på vilka av de skattade värdena som används varierar bedömningen från Sårbar (VU) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Minskningstakten överstiger gränsvärdet för Sårbar (VU) enligt A-kriteriet. Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Sårbar (VU). (A2c+3c+4c, C2a(i))."
Russula fulvograminea,kremla,,DD,,,,"Bildar mykorrhiza med björk, möjligen även med asp, i lövskog. Främst funnen i mellannorrland på exklusiva lokaler med bl.a. frösöstarr (Frösön i Jämtland) och på ett par fyndplatser i Närke (bl.a. Orkarebäckens NR). En relativt nybeskriven art (1997) som kan förväxlas med andra kremlor och behöver mikroskoperas för en säker artbestämning. Hittills få fyndrapporter vilket gör det svårt att bedöma status och eventuella populationsförändringar. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Otidea mirabilis,haröra,,DD,,,,"Bildar mykorrhiza med tall i kalkrik, torr, örtrik kalkbarrskog. Beskriven från Italien och i Sverige hittills med säkerhet bara känd från Ã–land och Gotland. Den detaljerade statusen för arten är dock ännu bristfälligt känd varför en säker bedömning inte kan göras. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Cortinarius majoranae,spindelskivling,,EN,,,,"Bildar mykorrhiza med hassel och möjligen ek i mosaikartade, torra hässlen på kalkrik mark. Känd från ett fåtal lokaler i Norden (Ã–land och Västergötland). Mycket sällsynt i övriga Europa och föreslagen kandidat för en europeisk rödlista. Arten står nära kryddspindling (C. percomis) och är beskriven år 2008. Arten är anpassad till ljusöppna skogstyper där bryn och småluckor omväxlar med slutna skogspartier. Missgynnas både av igenväxning och alltför stark utglesning av träd- och buskskikt. Utförd på rätt sätt kan restaureringar av ädellövrik betesmark vara gynnsamma för arten. Antalet reproduktiva individer skattas till 600 (60-1200). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (30). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 30 (3-75). Förekomstarean (AOO) skattas till 120 (12-240) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Minskningstakten har uppgått till 15 % under de senaste 50 åren. De skattade värdena som bedömningen baserar sig på ligger alla inom intervallet för kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius obsoletus,gulbrun rävspindling,,VU,,,,Bildar mykorrhiza med bok i bokdominerad ädellövskog med kontinuitet.  Ganska nybeskriven och med säkerhet endast funnen på några få exklusiva bokskogslokaler i Skåne och Danmark. Tämligen anonym och tidigare troligen sammanblandad med rävspindling C. vulpinus. Uppenbarligen mycket sällsynt och med mycket liten population i landet med värden som skulle motsvara VU på D-kriteriet. Antalet reproduktiva individer skattas till 800 (80-1600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (40). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 40 (4-80). Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1).
Ramaria flava var. pinicola,roslagsfingersvamp,,VU,,,,"Bildar mykorrhiza med gran i kalkrik barrskog och hittills endast känd från några få lokaler i Roslagen och nordöstra Uppland varför den preliminärt getts namnet ""roslagsfingersvamp"". Artkomplexet kring gula fingersvampar R. flava s.lat. är nyligen uppmärksammade i ett taxonomiskt projekt i Norge vilket bidragit till starkt ökade kunskaper. Detaljerna kring de olika formerna och deras status och utbredning är dock fortfarande till vissa delar bristfälligt kända. Antalet reproduktiva individer skattas till 800 (100-1600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (40). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 40 (5-80). En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på varietetens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar varieteten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1)."
Hydnellum roseoviolaceum,rosaköttig taggsvamp,S,NE,,,,
Cortinarius aquilanus,örnspindling,,VU,,,,Bildar mykorrhiza med bok i bokdominerad ädellövskog med kontinuitet.  Nyligen beskriven art utbruten ur Cortinarius langei s.lat. och med säkerhet enbart funnen på några få exklusiva boklokaler i Skåne och Danmark. Trots visst mörkertal mycket liten förekomstarea och population i landet. Antalet reproduktiva individer skattas till 800 (60-1600). Antalet har skattats genom att multiplicera tre faktorer: 1) Troliga antalet aktuella lokaler i landet (40). 2) Bedömt antal unika mycel/lokal (2). 3) En schablon för hur många fragmenterade enheter varje unikt mycel bedöms ge upphov till (10). Antalet lokalområden i landet skattas till 40 (3-80). Förekomstarean (AOO) skattas till 160 (12-320) kmÂ². Beroende på vilka av de skattade värdena som används varierar bedömningen från Nära hotad (NT) till Starkt hotad (EN). Baserat på de troligaste värdena hamnar arten i kategorin Sårbar (VU). Antalet individer bedöms vara lägre än gränsvärdet för Sårbar (VU) enligt D-kriteriet. (D1).
Cortinarius xanthosuavis,lövkryddspindling,,EN,,,,"Bildar mykorrhiza med hassel i mosaikartade, torra hässlen på kalkrik mark. Arten tillhör C. percomis-gruppen men är färgmässigt mycket avvikande och lätt att känna igen varför mörkertalet bedöms lågt. Hittills känd från ett fåtal lokaler i Norden (Västergötland, Ã–land) och även mycket sällsynt i övriga Europa. Missgynnas av att mosaikartade skogsbeten ersätts av mera renodlade, öppna betesmarker eller lämnas att växa igen. Populationen bedöms som mycket liten och därmed känslig för alla typer av förändringar på dess fåtaliga växtplatser. Antalet reproduktiva individer skattas till 400 (60-800). Antalet lokalområden i landet skattas till 20 (3-40). Förekomstarean (AOO) skattas till 100 (12-100) kmÂ². En minskning av populationen pågår eller förväntas ske. Minskningen avser kvalitÃ©n på artens habitat. Beroende på vilka av de skattade värdena som används varierar bedömningen från Starkt hotad (EN) till Akut hotad (CR). Baserat på de troligaste värdena hamnar arten i kategorin Starkt hotad (EN). Fortgående minskning förekommer i kombination med att antalet reproduktiva individer är lågt vilket gör att arten hamnar i kategorin Starkt hotad (EN). (C2a(i))."
Cortinarius kristinae,kristinspindling,,DD,,,,Bildar mykorrhiza med gran i rikare men ej nödvändigtvis kalkrika barrblandskogar. Relativt nyligen beskriven och ännu finns bara en handfull fynd i Sverige. Ã„ven om vi bedömer att arten är mycket sällsynt och knuten till en hotad biotop finns inte tillräckliga kunskaper om artens status för att göra en säker bedömning över till vilken kategori den hör. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig.
Otidea brunneoparva,haröra,,DD,,,,Bildar mykorrhiza med gran i örtrik naturskogsartad kalkgranskog. Bara känd genom några få fynd på mycket exklusiva lokaler. Arten är dåligt känd och säkerligen delvis förbisedd men växer i en miljö som påverkats och påverkas starkt av storskaligt skogsbruk likt andra arter i samma typ av skogar. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig.
Lanmaoa fragrans,lakritssopp,S,NA,,,,Sydlig art där två tidigare uppgivna fynduppgifter från Sverige inte med säkerhet kunnat bekräftas. Finns förmodligen inte i Nordeuropa och behandlas därför inte i rödlistan. Svensk förekomst: Har inte påträffats i landet.
Tomentella asperula,tomentelloid svamp,,DD,,,,"Trots riktade eftersök finns endast ett fynd per land i Sverige, Norge och Estland, så arten verkar mycket sällsynt. Verkar vara knuten till skog på kalkrik mark. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Cortinarius lilacinovelatus,lilaflockig spindling,,DD,,,,"Bildar mykorrhiza med bok och ek, i mer eller mindre slutna skogar på kalkjord. Ovanlig men vitt spridd i Europa. Uppfattades tidigare att ingå i fagerspindling (Cortinarius calochrous). Denna har dock visat sig innefatta ett komplex av flera närstående arter. Med stöd av morfologi, molekylära data och ekologiska uppgifter har det nyligen gått att dela upp fagerspindling i flera distinkta arter. Det finns åtminstone ett sekvenserat och bekräftat fynd från Sverige, Skåne, Degerberga 1988. Arten är tidigare ofta förväxlad med bl.a. C. platypus, och eftersom vi enbart känner till ett bekräftat fynd i landet är det svårt att bedöma trender och status för arten. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Tricholoma boudieri,lundmusseron,S,,,,,
Pachyphlodes melanoxantha,vårtig kratertryffel,,DD,,,,"Bildar mykorrhiza med hassel, på mulljord i ek- och hasselblandskog. Endast känd från en lokal i landet (Jönköpingstrakten). Bildar underjordiska fruktkroppar och högt mörkertal, men knuten till exklusiv miljö. Status och hotbild oklar. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
Polyozellus sciastrus,tomentelloid svamp,,DD,,,,"Nybeskriven art som tidigare gått under namnet Pseudotomentella tritis, ett taxon som visat sig innehålla flera arter. Få fynd i Norden, knuten till äldre skog på intermediär till rik mark. Faktaunderlaget bedöms vara otillräckligt för att avgöra vilken av de olika rödlistningskategorierna som är mest trolig."
